id,campaign,block,kind,engine,version,profile,host,publishers,consumers,cpus,seconds,count,payload,compression,trace,recovery,delta_ms,age,kill,seed,pilot,status,error,stage,attempt_records,confirmed_records,unknown_records,throughput_mps,p50_ms,p99_ms,sample_count,mean_ms,max_ms,p99_rank,positions_above_p99,measured_seconds,driver_sample_seconds,driver_mean_cores,driver_quota_percent,driver_throttled_usec,driver_throttled_periods,driver_host_busy_fraction,driver_host_iowait_fraction,broker_sample_seconds,broker_mean_cores,broker_quota_percent,broker_throttled_usec,broker_throttled_periods,broker_host_busy_fraction,broker_host_iowait_fraction,seconds_until_workers_joined,retained_count_at_reconciliation,reset_verified,occupancy,censored,actual_age_ms,observation_seconds,receipt_excess_ms,reference_to_redelivery_ms,redelivery_before_reference,after_nominal_deadline,sync_complete_calls,sync_by_call,sync_errors,sync_mean_ms,sync_p50_ms,sync_p99_ms,sync_max_ms,sync_sum_call_seconds,sync_broker_bracket_seconds,sync_boundary_overlap_calls,sync_calls_per_confirmed_message
F0036,main02,1,publication,redis,7.4.2,always,redis-old,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092438,False,failed,read tcp 10.42.134.13:57152->10.43.245.217:6379: i/o timeout,warmup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
F0037,main02,1,publication,nats,2.10.24,always,nats-old,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092439,False,complete,,complete,1022.0,1022.0,0.0,68.1158354786754,12.692375,51.876053,1022.0,14.672657137964773,98.711239,1012.0,10.0,15.003853257,15.004145116,0.01739292695334659,0.8696463476673294,0.0,0.0,0.09210304765111972,0.00353594881293147,15.005778887,0.034486380473613604,1.7243190236806802,0.0,0.0,0.04352734570998495,0.05949991637397558,,,,,,,,,,,,,,,,,,,,,,
F0038,main02,1,publication,nats,2.10.24,periodic,nats-old,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092440,False,complete,,complete,738843.0,738843.0,0.0,49255.52302224048,0.279374,0.932433,738843.0,0.32324504836480944,24.265115,731455.0,7388.0,15.000206163,15.000770121,1.0642356939828743,53.21178469914371,0.0,0.0,0.6050603217158177,0.0023458445040214475,15.001959322,1.2299078143040976,61.49539071520488,0.0,0.0,0.20210280373831777,0.07906375166889186,,,,,,,,,,,,,,,,,,,,,,
F0039,main02,1,publication,nats,2.15.0,always,nats-current,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092441,False,complete,,complete,10276.0,10276.0,0.0,684.0054137534817,23.277188,43.861361,10276.0,23.383290705040977,83.20987,10174.0,102.0,15.023272906,15.023881771,0.05942159380694983,2.971079690347491,0.0,0.0,0.10881612090680101,0.003526448362720403,15.025830357,0.19531546212571152,9.765773106285575,0.0,0.0,0.06769089082384461,0.05375083724045546,,,,,,,,,,,,,,,,,,,,,,
F0040,main02,1,publication,redis,8.10.2,always,redis-current,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092442,False,complete,,complete,8815.0,8815.0,0.0,587.6502888922919,1.630218,2.947743,8815.0,1.6975706626205351,214.836131,8727.0,88.0,15.000418049,15.001204696,0.058860139428364745,2.9430069714182374,0.0,0.0,0.11544934365533491,0.0030292830696735107,15.003209834,0.1595541238498951,7.977706192494755,0.0,0.0,0.05291138180752648,0.043199799070702,,,,,,,,,,,,,,,,,,,,,,
F0041,main02,1,publication,nats,2.15.0,always,nats-current,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092443,False,complete,,complete,8604.0,8604.0,0.0,573.5427677348913,1.694042,3.021653,8604.0,1.739171677708044,7.278947,8518.0,86.0,15.001496809,15.002154113,0.08728926460402374,4.364463230201187,0.0,0.0,0.12764158918005072,0.003212172442941674,15.004064212,0.21481632939308565,10.740816469654282,0.0,0.0,0.06511608379864814,0.037910911457240015,,,,,,,,,,,,,,,,,,,,,,
F0042,main02,1,publication,redis,8.10.2,memory,redis-current,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092444,False,complete,,complete,85922.0,85922.0,0.0,5728.0813681791615,0.169693,0.25201,85922.0,0.17170698530062112,7.17473,85063.0,859.0,15.00013608,15.000713178,0.36761605495447736,18.38080274772387,0.0,0.0,0.2497865801604917,0.0029025098173126175,15.00268974,0.07884766135275688,3.9423830676378437,0.0,0.0,0.05517241379310345,0.0008777429467084639,,,,,,,,,,,,,,,,,,,,,,
F0043,main02,1,publication,redis,8.10.2,periodic,redis-current,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092445,False,complete,,complete,73471.0,73471.0,0.0,4898.0095010181785,0.201387,0.279206,73471.0,0.2012655858093703,6.019445,72737.0,734.0,15.000175068,15.000929384,0.3117666166063195,15.588330830315975,0.0,0.0,0.28532562489372554,0.0028906648529161707,15.002746688,0.10869542983781398,5.434771491890699,0.0,0.0,0.05151667084482327,0.007604245007102866,,,,,,,,,,,,,,,,,,,,,,
F0044,main02,1,publication,nats,2.15.0,periodic,nats-current,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092446,False,complete,,complete,64606.0,64606.0,0.0,4307.066791858741,0.228034,0.331347,64606.0,0.22903228303872644,16.880806,63960.0,646.0,14.999999564,15.000274247,0.4439163504848419,22.195817524242095,0.0,0.0,0.30898100172711573,0.0025906735751295338,15.0017548,0.2321957695242426,11.60978847621213,0.0,0.0,0.06758793969849246,0.0024288107202680067,,,,,,,,,,,,,,,,,,,,,,
F0045,main02,1,publication,redis,7.4.2,always,redis-old,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092447,False,failed,read tcp 10.42.134.13:41268->10.43.245.217:6379: i/o timeout,measurement,185.0,184.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,7.352283321,185.0,True,,,,,,,,,,,,,,,,,,,
F0046,main02,1,publication,redis,8.10.2,memory,redis-current,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092448,False,complete,,complete,1099413.0,1099413.0,0.0,73293.47273818741,0.205424,0.475491,1099413.0,0.2170273502469106,9.166844,1088419.0,10994.0,15.000148839,15.000715346,1.1111668754146893,55.55834377073447,0.0,0.0,0.6146911519198665,0.0021702838063439064,15.001853358,0.521867852802671,26.09339264013355,0.0,0.0,0.1381705582057076,0.000962423633776885,,,,,,,,,,,,,,,,,,,,,,
F0047,main02,1,publication,nats,2.10.24,periodic,nats-old,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092449,False,complete,,complete,63721.0,63721.0,0.0,4248.007588775528,0.226739,0.338244,63721.0,0.23210204350214184,28.50227,63084.0,637.0,15.000208608,15.001026063,0.45653917080325257,22.82695854016263,0.0,0.0,0.27864897466827504,0.003791142512493538,15.002554408,0.21717301676723905,10.858650838361953,0.0,0.0,0.06923817094088608,0.0069865707233401665,,,,,,,,,,,,,,,,,,,,,,
F0048,main02,1,publication,redis,7.4.2,periodic,redis-old,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092450,False,complete,,complete,73441.0,73441.0,0.0,4896.049804018335,0.201591,0.284208,73441.0,0.2013890020560747,6.34786,72707.0,734.0,15.000051662,15.000613794,0.30616673844619613,15.308336922309806,0.0,0.0,0.27502544960977265,0.002544960977265015,15.00223543,0.10987522544165272,5.493761272082636,0.0,0.0,0.05898078529657477,0.002130325814536341,,,,,,,,,,,,,,,,,,,,,,
